Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
19060874,The Adventures Of Augie March,Saul Bellow,"Bellow, Saul",,"=""1623730023""","=""9781623730024""",5,Odyssey Editions,Kindle Edition,546,2010,1953,2020/03/22,2018/05/20,,,read,,,,1,0
10223049,The Sportswriter,Richard Ford,"Ford, Richard",,"=""0307763706""","=""9780307763709""",4,Vintage,Kindle Edition,386,2010,1986,2018/07/09,2018/05/16,,,read,,,,1,0
36681252,A Scanner Darkly,Philip K. Dick,"Dick, Philip K.",,"=""""","=""""",4,Mariner Books,Kindle Edition,307,2011,1977,2019/10/21,2019/08/16,,,read,,,,1,0
45883646,Watchmen,Alan Moore,"Moore, Alan","Dave Gibbons, John Higgins","=""1779501129""","=""9781779501127""",0,DC Comics,Paperback,448,2019,1987,,2019/10/14,to-read,to-read (#2),to-read,,,,0,0
8622058,The Remains of the Day,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""""","=""""",5,Vintage,ebook,276,2010,1989,2019/10/02,2018/12/25,,,read,,,,1,0
86524,"The Path to Power (The Years of Lyndon Johnson, #1)",Robert A. Caro,"Caro, Robert A.",,"=""0679729453""","=""9780679729457""",0,Vintage,Paperback,882,1990,1982,,2019/09/18,to-read,to-read (#1),to-read,,,,0,0
2657,To Kill a Mockingbird,Harper Lee,"Lee, Harper",,"=""0060935464""","=""9780060935467""",5,Harper Perennial Modern Classics ,Paperback,323,2006,1960,,2018/07/29,,,read,,,,3,0
191139,"Oh, the Places You’ll Go!",Dr. Seuss,"Seuss, Dr.",,"=""0679805273""","=""9780679805274""",5,Random House Books for Young Readers,Hardcover,44,1990,1990,,2019/02/27,,,read,,,,1,0
5107,The Catcher in the Rye,J.D. Salinger,"Salinger, J.D.",,"=""0316769177""","=""9780316769174""",4,Back Bay Books,Paperback,277,2001,1951,,2018/07/27,,,read,,,,1,0
9295171,Breakfast of Champions,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,"=""""","=""""",4,The Dial Press,Kindle Edition,322,2009,1973,2018/11/11,2018/10/06,,,read,,,,1,0
40961427,1984,George Orwell,"Orwell, George",,"=""""","=""""",5,Houghton Mifflin Harcourt,ebook,298,2013,1948,,2018/07/29,,,read,,,,1,0
629,"Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus, #1)",Robert M. Pirsig,"Pirsig, Robert M.",,"=""0060589469""","=""9780060589462""",0,HarperTorch,Mass Market Paperback,540,2006,1974,,2018/07/27,,,read,,,,1,0
7793661,Watership Down,Richard  Adams,"Adams, Richard",,"=""""","=""""",5,Charles Scribner's Sons,ebook,476,2009,1972,2018/07/26,2018/05/29,,,read,,,,1,0
790171,Kon-Tiki,Thor Heyerdahl,"Heyerdahl, Thor",,"=""0671726528""","=""9780671726522""",5,Rand McNally,Paperback,240,1990,1948,,2018/05/29,,,read,,,,1,0
2612,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,"Gladwell, Malcolm",,"=""""","=""""",3,Time Warner Book Group,Paperback,301,2002,2000,,2018/05/29,,,read,,,,1,0
17213869,The Cost of Discipleship,Dietrich Bonhoeffer,"Bonhoeffer, Dietrich","R.H. Fuller, Irmgard Booth","=""""","=""""",4,Touchstone (Simon & Schuster),Kindle Edition,322,2012,1937,2018/05/29,2018/04/01,,,read,,,,1,0
20351202,The Man in the High Castle,Philip K. Dick,"Dick, Philip K.",,"=""""","=""""",5,Houghton Mifflin Harcourt,ebook,278,2012,1962,2018/05/13,2018/04/10,,,read,,,,1,0
28881,"Lamb: The Gospel According to Biff, Christ’s Childhood Pal",Christopher Moore,"Moore, Christopher",,"=""0380813815""","=""9780380813810""",4,Harper Perennial,Paperback,444,2004,2002,,2017/08/24,,,read,,,,1,0
890,Of Mice and Men,John Steinbeck,"Steinbeck, John",,"=""0142000671""","=""9780142000670""",5,Penguin Books,Paperback,107,2002,1937,,2017/08/24,,,read,,,,1,0
68210,"Gilead (Gilead, #1)",Marilynne Robinson,"Robinson, Marilynne",,"=""031242440X""","=""9780312424404""",5,Picador ,Paperback,247,2006,2004,,2017/08/24,,,read,,,,1,0
10799,A Farewell to Arms,Ernest Hemingway,"Hemingway, Ernest",,"=""0099910101""","=""9780099910107""",5,Arrow Books,Paperback,304,2004,1929,,2017/08/24,,,read,,,,1,0
2165,The Old Man and the Sea,Ernest Hemingway,"Hemingway, Ernest",,"=""0684830493""","=""9780684830490""",5,Scribner,Hardcover,96,1996,1952,,2017/08/24,,,read,,,,1,0
9777,The God of Small Things,Arundhati Roy,"Roy, Arundhati",,"=""0679457313""","=""9780679457312""",5,Random House,Paperback,321,1997,1997,,2017/08/24,,,read,,,,1,0
